EMF-390 Data Logged History
,EMF,EF,RF Power Density
Date and Time,mG,V/m,mW/m2,mW/cm2,pW/cm2, Possible Source
2026/01/14 07:38:04,0.7,0.0,0.005,0.000,536.494,Mixed
2026/01/14 07:38:05,0.7,0.0,0.005,0.000,536.494,Mixed
